technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951261329,23.040441866,2024-08-17 23:21:01.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951261329,23.040441866,2024-08-17 23:21:01.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951261329,23.040441866,2024-08-17 23:21:01.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951261329,23.040441866,2024-08-17 23:21:01.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951261329,23.040441866,2024-08-17 23:21:01.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951261329,23.040441866,2024-08-17 23:21:01.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-116,2147483647,-116,-14,-83,2147483647,24,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-126,2147483647,-126,-19,-93,2147483647,14,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951262328,24.040088272,2024-08-17 23:21:02.328000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-116,2147483647,-116,-14,-83,2147483647,24,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-126,2147483647,-126,-19,-93,2147483647,14,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951263329,25.041654626,2024-08-17 23:21:03.329000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-116,2147483647,-116,-14,-83,2147483647,24,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-126,2147483647,-126,-19,-93,2147483647,14,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951264333,26.045875198,2024-08-17 23:21:04.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-116,2147483647,-116,-14,-83,2147483647,24,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-126,2147483647,-126,-19,-93,2147483647,14,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951265333,27.045496135,2024-08-17 23:21:05.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-117,2147483647,-117,-12,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-129,2147483647,-129,-20,-97,2147483647,11,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951266333,28.04577551,2024-08-17 23:21:06.333000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-117,2147483647,-117,-12,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-129,2147483647,-129,-20,-97,2147483647,11,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951267334,29.046198062,2024-08-17 23:21:07.334000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-117,2147483647,-117,-12,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-129,2147483647,-129,-20,-97,2147483647,11,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-133,2147483647,-133,-19,-105,2147483647,7,9820,192,2147483647,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723951268345,30.057848843,2024-08-17 23:21:08.345000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-117,2147483647,-117,-12,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951269348,31.059393321,2024-08-17 23:21:09.348000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-129,2147483647,-129,-20,-97,2147483647,11,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951269348,31.059393321,2024-08-17 23:21:09.348000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-114,2147483647,-114,-12,-93,2147483647,26,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951269348,31.059393321,2024-08-17 23:21:09.348000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-112,2147483647,-112,-12,-91,2147483647,28,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951269348,31.059393321,2024-08-17 23:21:09.348000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,5035,129,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951269348,31.059393321,2024-08-17 23:21:09.348000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
4G_LTE,-119,2147483647,-119,-19,-91,2147483647,21,5035,231,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951269348,31.059393321,2024-08-17 23:21:09.348000,-121.9479408,37.3931618,-23.600000381469727,37.3931618,-121.9479408,-23.600000381469727
