technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc
4G_LTE,-114,2147483647,-114,-19,-85,2147483647,26,5330,211,14,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-18,-85,2147483647,27,5330,300,14,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-14,-79,2147483647,32,67086,190,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-107,2147483647,-107,-16,-79,2147483647,33,67086,8,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-17,-85,2147483647,29,1000,3,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-17,-85,2147483647,29,1000,3,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-18,-85,2147483647,29,1000,326,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-109,2147483647,-109,-15,-85,2147483647,31,1000,472,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-14,-79,2147483647,32,67086,190,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-109,2147483647,-109,-15,-85,2147483647,31,1000,472,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356483458,23025.100449289,2024-08-22 15:54:43.458000,-97.2834763,33.0217257,160.045080700854,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-107,2147483647,-107,-16,-79,2147483647,33,67086,8,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-14,-79,2147483647,32,67086,190,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-109,2147483647,-109,-18,-73,2147483647,31,5330,76,14,133189336,27173,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-17,-85,2147483647,29,1000,3,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-114,2147483647,-114,-19,-85,2147483647,26,5330,211,14,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-109,2147483647,-109,-15,-85,2147483647,31,1000,472,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-17,-85,2147483647,29,1000,3,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-107,2147483647,-107,-16,-79,2147483647,33,67086,8,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-14,-79,2147483647,32,67086,190,14,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-18,-85,2147483647,27,5330,300,14,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-114,2147483647,-114,-19,-85,2147483647,26,5330,211,14,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-109,2147483647,-109,-18,-73,2147483647,31,5330,76,14,133189336,27173,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-18,-85,2147483647,29,1000,326,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-18,-85,2147483647,29,1000,326,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-109,2147483647,-109,-15,-85,2147483647,31,1000,472,14,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-18,-85,2147483647,27,5330,300,14,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356484456,23026.099250331,2024-08-22 15:54:44.456000,-97.2834763,33.02172574697115,160.04249940076934,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-18,-73,2147483647,32,5330,76,13,133189336,27173,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-15,-83,2147483647,29,1000,472,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-112,2147483647,-112,-17,-85,2147483647,28,1000,326,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-112,2147483647,-112,-17,-83,2147483647,28,1000,3,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5330,300,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-15,-83,2147483647,29,1000,472,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-107,2147483647,-107,-16,-81,2147483647,33,67086,8,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-112,2147483647,-112,-17,-83,2147483647,28,1000,3,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-107,2147483647,-107,-16,-81,2147483647,33,67086,8,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5330,300,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-20,-81,2147483647,27,5330,211,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-18,-73,2147483647,32,5330,76,13,133189336,27173,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-112,2147483647,-112,-17,-85,2147483647,28,1000,326,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-20,-81,2147483647,27,5330,211,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356485457,23027.100399914,2024-08-22 15:54:45.457000,-97.2834763,33.02172579509615,160.03985469106132,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-111,2147483647,-111,-15,-83,2147483647,29,1000,472,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-20,-81,2147483647,27,5330,211,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5330,300,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-107,2147483647,-107,-16,-81,2147483647,33,67086,8,13,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-112,2147483647,-112,-17,-83,2147483647,28,1000,3,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-112,2147483647,-112,-17,-85,2147483647,28,1000,326,13,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-18,-73,2147483647,32,5330,76,13,133189336,27173,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-108,2147483647,-108,-18,-73,2147483647,32,5330,76,13,133189336,27173,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-113,2147483647,-113,-20,-81,2147483647,27,5330,211,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5330,300,13,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724356486462,23028.104811632,2024-08-22 15:54:46.462000,-97.2834763,33.0217258,160.039585200162,481210203204007,TX,48121020320,52020511,481210203204007,1808779,48121,Denton County,593.5,1
